JobTitle,JobYear,JobLink,JobType,JobField,JobSource,JobDesc,JobLink_norm,FieldAlias,Count
University of Zürich,2011,http://chronicle.com/jobs/0000641097-01/?sid=ja&utm_source=ja&utm_medium=en,Unknown,Medieval,Wiki,"Position Title: Professorship in English Language (to be filled by 1 February 2011 or later)
Subfield/description:""Applicants should have demonstrated competence in diachronic English linguistics and the history of the English language (in particular Old and/or Middle English); candidates are also expected to be able to teach Medieval English literature. Substantial publications beyond the doctoral thesis are a prerequisite. Courses are taught in English but a functional knowledge of German is required.""
Link
Deadline: August 30
Acknowledgment received:
Request for additional materials:
Interview scheduled:
Rejection:
Offer made:
Offer accepted:
NOTES:",http://chronicle.com/jobs/0000641097-01/?sid=ja&utm_source=ja&utm_medium=en,Medieval,202
Columbus State University (GA) - OFFER ACCEPTED,2012,http://www.ColumbusState.edu/,Unknown,Medieval,Wiki,"The Department of English invites PhDs in medieval literature to apply for a tenure‑track position at the assistant professor rank. The department currently enrolls about 200 undergraduate majors in four tracks: Literature, Professional Writing, Creative Writing, and English and Secondary Education. The candidate hired will teach upper division courses in his/her area of specialty, world literature, and core English courses. Summer teaching optional. The department has a strong tradition of participation in interdisciplinary courses and study abroad programs.  
For additional information about the University visit our website at http://www.ColumbusState.edu/.
  The position requires a PhD in English with emphasis in medieval literature. A successful criminal background check will be required as a condition of employment.   For full consideration, submit a letter of application, current curriculum vitae, copy of transcripts, three letters of recommendation, and a teaching portfolio with sample syllabi to Dr. Susan Hrach, Department of English, Columbus State University, 4225 University Avenue, Columbus, Georgia 31907‑5645. Review of applications will begin November 10, 2011, and continue until the position is filled. Applications for part‑time and full‑time faculty positions must include transcripts of all academic work, and official transcripts must be presented prior to campus visit if selected for interview.
From MLA JIL 10/7/11
Deadline: Nov. 10
Acknowledgment received: 11/2 (x2), 11/8, 11/10 (x4), 11/14 (x1)
Request for additional materials:
Rejection (no interview):
Phone interview scheduled: 12/7 (phone & email); 12/8 (by email)
Rejection (after phone or MLA interview):
Campus interview scheduled: 1/19 (by phone)
Rejection (after campus interview):
Offer made: 2/17 (by phone)
Offer accepted: 3/5
NOTES:
Contacted department chair and learned it is a 4/4 teaching load (10/13)",http://www.ColumbusState.edu/,Medieval,202
Minnesota State University (Mankato) - British Lit. - Asst. Prof. - CAMPUS INTERVIEW SCHEDULED,2012,http://agency.governmentjobs.com/mankato/default.cfm | http://agency.governmentjobs.com/mankato/default.cfm?action=viewJob&jobID=395397&hit_count=yes&headerFooter=1&promo=0&transfer=0&WDDXJobSearchParams=%3CwddxPacket%20version%3D%271.0%27%3E%3Cheader%2F%3E%3Cdata%3E%3Cstruct%3E%3Cvar%20name%3D%27FIND_KEYWORD%27%3E%3Cstring%3E%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27CATEGORYID%27%3E%3Cstring%3E-1%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27TRANSFER%27%3E%3Cstring%3E0%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27PROMOTIONALJOBS%27%3E%3Cstring%3E0%3C%2Fstring%3E%3C%2Fvar%3E%3C%2Fstruct%3E%3C%2Fdata%3E%3C%2FwddxPacket%3E,Unknown,Medieval,Wiki,"Specialist in British literature prior to the 19th century to teach a variety of introductory, upper-level and graduate courses, including Shakespeare, British literature survey courses, and the department's introductory course in linguistics. In addition, must be prepared to teach composition and writing-intensive general education literature courses. An ability to teach online or hybrid courses is desirable. Teaching load : 12 credits (3 courses) per semester. Also required: continued scholarly activity, undergraduate and graduate advising, service on MA thesis committees and department committees. Fixed-term positions are for one academic year; there is a possibility that the position may be extended on an annual basis for up to four years.
Minimum Qualifications:
Doctorate in English literature or related field by August 20, 2012.
Specialization in British literature prior to the 19th century.
Demonstrated preparation to teach survey courses in British literature prior to the 19th century.
Demonstrated preparation to teach Shakespeare.
Demonstrated preparation to teach linguistics.
Relevant scholarly activity.
College-level teaching experience in literature and writing.
For more information and application materials, please see http://agency.governmentjobs.com/mankato/default.cfm
Full Position Description from HR (LINK)
Deadline: Review of applications begins January 9, 2012, and will continue until position is filled.
Acknowledgment received:
Request for additional materials: 1/27 (by phone)
Rejection (no interview): 2/29 (by email)
Phone interview scheduled:
Rejection (after phone interview):
Campus interview scheduled: [From Renaissance page: ""2/23""]
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES: They didn't actually do preliminary interviews - they just asked for materials, made phone calls to references, compiled a list of candidates from that, whittled it down to the short list, and then went straight to the campus visit stage.
Also posted at Renaissance 2012 & Restoration/18th-Century 2012",http://agency.governmentjobs.com/mankato/default.cfm | http://agency.governmentjobs.com/mankato/default.cfm?action=viewJob&jobID=395397&hit_count=yes&headerFooter=1&promo=0&transfer=0&WDDXJobSearchParams=%3CwddxPacket%20version%3D%271.0%27%3E%3Cheader%2F%3E%3Cdata%3E%3Cstruct%3E%3Cvar%20name%3D%27FIND_KEYWORD%27%3E%3Cstring%3E%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27CATEGORYID%27%3E%3Cstring%3E-1%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27TRANSFER%27%3E%3Cstring%3E0%3C%2Fstring%3E%3C%2Fvar%3E%3Cvar%20name%3D%27PROMOTIONALJOBS%27%3E%3Cstring%3E0%3C%2Fstring%3E%3C%2Fvar%3E%3C%2Fstruct%3E%3C%2Fdata%3E%3C%2FwddxPacket%3E,Medieval,202
"Notre Dame of Maryland University - medieval, renaissance, or classic world lit. - OFFER ACCEPTED",2012,,Unknown,Medieval,Wiki,"The English Department invites applications for a tenure‑track assistant professor position with primary expertise combining two or more of the following areas: medieval, renaissance, or classic world literature, literary theory and history, rhetoric and composition. We will also consider secondary areas of interest that fall outside these parameters. Applicants must provide evidence of scholarly productivity and demonstrate ability to teach introductory, advanced undergraduate, and graduate courses. Teaching responsibilities include expository writing, undergraduate literature courses, and graduate courses in our new MA program. Ph.D. in English required at time of hire. Teaching load is 4/3, with some classes delivered in weekend and evening format. Qualified candidates should visit http://ndm.interviewexchange.com and apply on‑line. Please provide a cover letter describing teaching and research interests, current vita, evidence of effective teaching (may include a statement of teaching philosophy, syllabi, and/or course evaluations), three letters of recommendation, and a critical writing sample. Questions may be referred to Dr. Jeana DelRosso, Department Chair of English, Notre Dame of Maryland University, 4701 N. Charles Street, Baltimore, MD 21210, jdelrosso@ndm.edu. Applications should be received by November 11, 2011.
From MLA JIL 9/15/11
Deadline: Nov. 11
Acknowledgment received: 11/9, 11/10
Request for additional materials:
Rejection (no interview):
MLA or phone interview scheduled: (Renaissance page notes that MLA interview took place)
Rejection (after MLA or phone interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted: 3/15--Rejection email says ""After a lengthy search, we identified a candidate, who has since accepted our offer.""
NOTES:
Any word on this job?
12/21: Not for me--I was in contact with them about a CV update about two weeks ago, and though they were receptive to my news, were also silent on where they were in the search process.
Also posted at Renaissance 2012, Rhetoric/Composition 2012 & Generalist 2012",,Medieval,202
University of Mobile - British lit. before 1800,2012,,Unknown,Medieval,Wiki,"The University of Mobile announces a tenure‑track opening for an assistant professor of English beginning August 2012. Ph.D. required by start date. The preferred candidate will be a specialist in an area of British literature before 1900. The department is seeking an energetic scholar‑teacher whose work actively engages the Christian tradition. The faculty member will teach a 4/4 course load, typically including two sections of freshman composition, one world literature survey, and one upper‑level course each semester.   Applicants should submit a cover letter and curriculum vitae by November 15 to Dr. Katherine Abernathy, British Search Chair, Department of Humanities, University of Mobile, 5735 College Pkwy., Mobile, AL 36613. Applicants should also send a copy of their letters and vitae electronically to Dr. Katherine Abernathy at katherine@mail.umobile.edu. Preliminary interviews will be conducted by phone conference.
From MLA JIL 9/30/11
Deadline: Nov. 15
Acknowledgment received:
Request for additional materials:
Rejection (no interview):
Phone interview scheduled:
Rejection (after phone interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:
Also posted at Renaissance 2012 & British Open 2012",,Medieval,202
University of St. Francis (IL) - pre-Renaissance English studies - SEARCH CONCLUDED,2012,http://www.stfrancis.edu/,Unknown,Medieval,Wiki,"Tenure track position (pending approval) in pre‑Renaissance English studies. Sub‑specialty in composition and rhetoric preferred. Other desired competencies from among this list: post‑colonial literatures, drama and/or film, performance studies, linguistics, ELL, language instruction (Spanish, French, Italian). Candidates in comparative literature welcome. Ph.D. required. Experience in organizing conferences and colloquia helpful. 4/4 teaching load. Submit cover letter, c.v., three letters of reference by Nov. 14 to Prof. Randolph Chilton, Department of English and Foreign Languages, University of St. Francis, 500 Wilcox St., Joliet, IL 60435. The University of St. Francis is a Catholic institution in the Franciscan tradition. We are an Equal Opportunity Employer and welcome all persons. Salary and other considerations will be competitive and consistent with the university’s commitment to recruiting the best‑qualified individual. For more information on the university, visit http://www.stfrancis.edu/.
From MLA JIL 9/15/11
Deadline: Nov. 14
Acknowledgment received:
Request for additional materials:
Rejection (no interview): 4/4
MLA or phone interview scheduled: Skype Interview (by phone 12/13; 12/15)
Rejection (after MLA or phone interview): 4/4
Campus interview scheduled: 1/29 (x1)
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:
The faculty page lists a Visiting professor, Kevin Spicer. Can't tell for sure, but it seems like he might be a medievalist. Does anyone know if he is an internal candidate?
A: He is a medievalist, but that doesn't necessarily mean he will get the job.
Rejection email says, ""We have now concluded our search."" 4/4",http://www.stfrancis.edu/,Medieval,202
West Virginia University - 3 positions in pre-1800 British lit.- ONE OFFER ACCEPTED,2012,http://english.wvu.edu/jobs | http://english.wvu.edu/jobs,Unknown,Medieval,Wiki,"The Department of English at West Virginia University invites applications for three positions in pre-1800 British literature: (1) Shakespeare, (2) History of the Book, and (3) Poetry and Poetics. Applicants must have a PhD by August, 2012, clear evidence of success in research, and demonstrated teaching excellence. Especially encouraged to apply are candidates capable of developing or enhancing our commitment to international, interdisciplinary, and/or multicultural studies. Teaching responsibilities (a 2/2 load) will range from undergraduate British literature survey courses to Graduate courses and seminars in your areas of specialization.
West Virginia University is a Research-High Activity University located in Morgantown, WV (approximately 70 miles south of Pittsburgh, PA). WVU is an Affirmative Action, Equal Opportunity employer.
The position begins August 16, 2012. Screening will begin November 1, continuing until the position is filled. Interviews will be conducted at the MLA convention in Seattle.
Submit your letter of application and CV to: Search Committee/British Literature, Department of English, West Virginia University, Box 6296, Morgantown, WV 26506-6296.
Direct further inquiries to John Ernest.
LINK: http://english.wvu.edu/jobs
Deadline: Nov. 1
Acknowledgment received: 10/19, 10/25, 10/31
Request for additional materials: 11/9 (x2), 11/14 (x2), 11/15 (HotB), 11/17 (P&P), 11/21 (x3, P&P)
Rejection (no interview): 12/28 x4
MLA interview scheduled: 12/22
Rejection (after MLA interview):
Campus interview scheduled: 1/13 HoB
Rejection (after campus interview):
Offer made:
Offer accepted: [From Renaissance page: ""2/20 History of the Book""]
NOTES:
9/1: Where was this job posted?
A: I don't believe it has been posted in the usual places yet, but just yesterday (8/31), saw it circulated on email lists. I imagine it will be posted in the JIL when that goes up later in Sept.
Update (9/14/11): Position announcement now posted at WVU site: http://english.wvu.edu/jobs
Ad also posted in MLA JIL 9/16/11, with stipulation: ""Applications accepted until November 1, 2011.""
Update (11/7/11): A Renaissance candidate posted a request for more materials on 10/31; a user there asked for which of the three positions, but no answer as of yet. A: Sorry, I just noticed the person's question. The position is History of the Book.
Which positions have people on the medieval page received requests for more materials for? History of the Book; 11/14: Poetry and Poetics/History of the Book
11/14: History of the Book
11/17 Poetry and Poetics
12/16: Has anyone heard anything? Bueller?
12/28: I just received an email from the chair stating that, although I'm not being interviewed, they're keeping my materials in case they decide to pursue my application. (x3; adding they said they received ""nearly 300 applications"" for these three positions, in case other people like numbers the way I do)
Also posted at British Open 2012, Renaissance 2012 & Restoration/18th-Century 2012",http://english.wvu.edu/jobs | http://english.wvu.edu/jobs,Medieval,202
University of Mary (ND) - English Faculty Position - British Generalist (incl. Chaucer) - POSITION FILLED,2015,http://www.umary.edu/about/mission/missionidentity.php | mailto:employment@umary.edu | https://www.higheredjobs.com/faculty/details.cfm?JobCode=176130953&Title=English%20Faculty%20Position | http://jobs.umary.edu/assistant-or-associate-professor-of-language-and-literature/,Unknown,Medieval,Wiki,"The University of Mary invites applications for a faculty position in English to begin Fall 2016. Salary is commensurate with qualifications, experience, and rank. A Ph.D. is required by time of employment. Candidates with demonstrated ability as a British generalist, with a focus on literature from its beginnings through the Victorian period, are encouraged to apply, especially those with expertise in canonical authors such as Chaucer, Shakespeare, Milton, or the Romantics. An aptitude for noting points of convergence between literary theory and traditions and the broader Catholic intellectual tradition would be a distinct asset.
Applicants should also excel in teaching at the undergraduate level and be able to teach broadly among the various areas of English while having an active research agenda. All faculty are expected to demonstrate a willingness to support and advance the Christian, Catholic, and Benedictine mission and identity of the University of Mary (see http://www.umary.edu/about/mission/missionidentity.php).
The University of Mary overlooks the beautiful Missouri river and is located in Bismarck, North Dakota, a community of approximately 80,000 people, with wonderful family and parish life, friendly neighborhoods, enjoyable recreational and cultural facilities, a low crime rate, clean air, and excellent schools. The University of Mary, with an enrollment of over 3000 students, is accredited by the Higher Learning Commission of the North Central Association. AA/EOE.
Qualified applicants should submit (1) cover letter, (2) curriculum vitae, (3) teaching portfolio, (4) writing sample, (5) official transcripts from all colleges and universities attended, and (6) three letters of recommendation to: employment@umary.edu
HigherEdJobs.com
Deadline: Review of application materials will begin on October 15, 2015. Position will remain open until filled. (per jobs.umary.edu).
Acknowledgment received:
Request for additional materials:
Rejection (no interview):
Preliminary interview scheduled (please specify: MLA, phone, Skype, etc.):
Rejection (after preliminary interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
[POSITION FILLED posted in header on 12/15]
NOTES:
Also posted at Romanticism/Victorian/19th 2016, British Open 2016, and Renaissance 2016",http://www.umary.edu/about/mission/missionidentity.php | mailto:employment@umary.edu | https://www.higheredjobs.com/faculty/details.cfm?JobCode=176130953&Title=English%20Faculty%20Position | http://jobs.umary.edu/assistant-or-associate-professor-of-language-and-literature/,Medieval,202
 University of Texas at Austin (TX) - Harry Ransom Center - Curator of Early Books and Manuscripts,2016,https://utdirect.utexas.edu/apps/hr/jobs/nlogon/160801010606,Unknown,Medieval,Wiki,"The Harry Ransom Center seeks collaborative, creative, and service-oriented candidates for the position of Carl and Lily Pforzheimer Curator of Early Books and Manuscripts. The Ransom Center is an internationally renowned humanities research library and museum at The University of Texas at Austin. Its holdings include 42 million manuscripts, one million books, five million photographs, and over 100,000 works of art. The Ransom Center hosts 142,000 visitors annually, including undergraduate and graduate students, scholars, and members of the public. The Center has a full-time staff of 88, including five subject curators. Curators collaborate with colleagues in the Center’s Library, Preservation & Conservation, Education & Exhibitions, and Scholarly Programs divisions to support the Center’s mission to encourage discovery, inspire creativity, and advance understanding of the humanities for a broad and diverse audience through the preservation and sharing of its extraordinary collections.
The Pforzheimer Curator provides curatorial support for the Center’s early book and manuscript holdings through the hand-press era, including the Carl H. Pforzheimer Library of English Literature. The Pforzheimer Library is internationally known for first and important editions of plays, poems, novels, essays, polemical writings, and translations of the most important English writers from 1475 to 1700, including Caxton, Spenser, Shakespeare, Milton, Marvell, Donne, Dryden, Congreve, Marlowe, and Bacon, among many others. The Pforzheimer Curator also provides curatorial support for other early book and manuscript holdings, including the Wrenn library, the Recusant collection, the Uzielli Aldine Press collection, and incunabula.
The Pforzheimer Curator will participate in a variety of interpretive activities (writing, exhibitions, lectures, and talks) that promote the teaching and research use of the Center’s early book and manuscript holdings and promote the greater understanding and appreciation of these collections. He or she will provide specialized reference support for researchers working with the Center’s early book and manuscript holdings and will contribute to the annual review of research fellowship applications. The Pforzheimer Curator will select books and manuscripts for the Pforzheimer Library, keeping in mind existing strengths, trends in scholarship, and classroom needs. He or she will work with Preservation & Conservation staff to establish treatment priorities and with Description & Access staff and Digital Collections staff to promote enhanced access to the collection by consulting on cataloging and access initiatives. The curator will contribute to the broader institutional mission and work of the Ransom Center by participating in regular meetings with the Center’s curatorial group, serving on Ransom Center committees, and collaborating with colleagues across the Center. He or she will represent the Ransom Center within professional and scholarly communities related to early book and manuscript culture and serve as a liaison with relevant faculty at The University of Texas at Austin.
Required qualifications: Ph.D. in English literature or history (or related discipline), or a demonstrated record of commensurate scholarly or curatorial experience; Master’s degree in Library or Information Science or three or more years’ experience with early modern book and manuscript collections in a research library setting; Reading knowledge of at least one European language, Latin preferred; Knowledge of bibliography and the history of the book and familiarity with early modern English paleography; Understanding of the appropriate roles of digital surrogates in a research environment and familiarity with trends in digital librarianship; Familiarity with rare book cataloging principles and standards; Record of participation in scholarly or professional organizations at the national or international level; Superior oral and written communication skills; Demonstrated experience giving presentations to scholarly audiences, classes, and to other diverse, public audiences.
For further information and to apply for the position, please see job posting number 16-08-01-01-0606: https://utdirect.utexas.edu/apps/hr/jobs/nlogon/160801010606.
The University of Texas at Austin is an Equal Opportunity/Affirmative Action Employer with a commitment to diversity at all levels. Security sensitive position; conviction verification will be conducted on applicant selected.
Deadline:
Acknowledgment received:
Request for additional materials:
Rejection (no interview):
Preliminary interview scheduled (please specify: MLA, phone, Skype, etc.):
Rejection (after preliminary interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:
Also posted at Renaissance 2017",https://utdirect.utexas.edu/apps/hr/jobs/nlogon/160801010606,Medieval,202
Yale University (CT) - Open Rank - Old English Language and Literature - CAMPUS INTERVIEW STAGE,2016,http://apply.interfolio.com/37151,Unknown,Medieval,Wiki,"The Department of English Language and Literature seeks an outstanding scholar and teacher of Old English. This position is open rank, beginning July 1, 2017. Yale University is an affirmative action/equal opportunity employer. Yale values diversity among its students, staff, and faculty and strongly welcomes applications from women, persons with disabilities, protected veterans, and underrepresented minorities. Please submit a letter of application, your c.v., a research statement, and, for recent PhD and untenured candidates, at least three letters of recommendation, and a 25-page writing sample prepared for anonymous review to http://apply.interfolio.com/37151, directed to Old English Search Committee. Review of applications will begin November 1, 2015.
MLA JIL 09/09/16
Deadline: Nov. 1
Acknowledgment received:
Request for additional materials:
Rejection (no interview): 12/20 (1x)
Preliminary interview scheduled (please specify: MLA, phone, Skype, etc.): 
Rejection (after preliminary interview):
Campus interview scheduled: In progress [posted 12/20]
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:
Thank you to all who applied. The initial process of shortlisting has now taken place for this search, and we will not be conducting interviews at the Modern Language Association Convention 2016 in Philadelphia, PA.",http://apply.interfolio.com/37151,Medieval,202
Saint Louis University-Madrid (SPAIN) - Full-Time Faculty Position in pre-1800 English Literature - ADDITIONAL MATERIALS REQUESTED,2018,https://apply.interfolio.com/54594,Unknown,Medieval,Wiki,"Saint Louis University, a Catholic, Jesuit institution dedicated to student learning, research, health care, and service, invites applications for a twelve-month full-time position in its Madrid Campus English Department (Spain). We seek candidates in pre-1800 English literature, especially those who demonstrate additional expertise in Transnational Studies, Mediterranean studies, or Creative Writing. The position, to begin September 1, 2019, is for 12 months, renewable and continuing by mutual agreement.
The teaching responsibility is 6 courses (18 credits) per year and includes all levels of literature and first-year writing. Candidates should have a strong commitment to undergraduate teaching, a productive research agenda, and willingness to engage in advising and service to develop our small, dynamic Department and Campus programs, including the B.A. in English.
Candidates must hold a Ph.D. in pre-1800 English literature by August 15, 2019, have published in the field of the position, and demonstrate teaching and research excellence. Teaching experience in both literature and first-year writing, experience with diverse student populations, and knowledge of Spanish are helpful.
To apply, please submit a cover letter, CV, and three letters of recommendation by November 1, 2018 to Dr. Anne Dewey, anne.dewey@slu.edu. Complete applications will be acknowledged promptly. Selected applicants will be asked to provide a teaching portfolio (teaching philosophy, sample literature and first-year writing syllabi, representative summary of teaching evaluations) and 20-page writing sample by November 20. Finalists will be interviewed by Skype starting in January.
Established in 1967, the Madrid Campus of Saint Louis University educates a student body of approximately 850 students from over 65 countries. SLU-Madrid offers 14 fully accredited American undergraduate and 2 fully accredited graduate degrees that can be completed in Spain or combined with studies at the St. Louis campus.
Saint Louis University is an Affirmative Action/Equal Opportunity Employer (AA/EOE); it encourages applications from women and minorities.
Apply at: https://apply.interfolio.com/54594
MLA JIL 09/10/18
Deadline: Nov. 1
Acknowledgment received:
Request for additional materials: Nov 25
Rejection (no interview):
Preliminary interview scheduled (please specify: MLA, phone, Skype, etc.):
Rejection (after preliminary interview):
Campus interview scheduled:
Rejection (after campus interview):
Offer made:
Offer accepted:
NOTES:
Also posted at Renaissance 2019, Restoration/18th-Century 2019 and British Open 2019",https://apply.interfolio.com/54594,Medieval,202
